nk	sk
그는 깊은 울음소리와 깊은 사색에 잠겨있었으며 대담하게 굴지 않으면 안되는 자신에 대한 강한 확신을 느꼈다.	그는 깊고 울림 있는 저음의 목소리를 가졌고, 대담함으로 기울어지는 도전적인 자신감이 느껴졌다.
쥴리앙은 이 방이 시골뜨기들의 방이라는것을 알아차렸다.	그는 평범한 농부의 방에 있다는 것을 깨달았다.
나는 맹세할뿐아니라 맹세한다! 하고 그는 손을 내밀었다.	나는 약속할 뿐만 아니라 맹세한다! 몬테 크리스토가 손을 내밀며 말했다.
보로토프는 그 녀자의 불안한 표정을 보고 그 녀자가 돈을 잃는다는것이 얼마나 괴로운것인가를 깨달았다.	그리고 보로토프는 그녀의 불안한 모습을 보며 루블이 그녀에게 얼마나 큰 의미인지, 그녀가 벌고 있는 것을 잃는 것이 얼마나 쓰라릴지를 깨달았다.
종소리가 울리고 하인이 나타나서 프레드릭을 작은 방으로 안내했다. 거기서는 두개의 튼튼한 궤짝과 종이쪼각으로 가득찬 작은 구멍이 보였다.	종이 울렸고, 하인이 나타나 프레드릭을 작은 방으로 안내했으며, 그곳에서는 두 개의 튼튼한 상자와 종이 조각으로 가득 찬 작은 구멍들을 볼 수 있었다.
그리고 무엇보다도 나쁜것은 내가 빨리 결정을 내려야 한다는것이며 그렇지 않으면 오늘밤에야 겨우 내려갈수 있는 오후 코치를 놓치게 된다는것이였다.	그리고 가장 나쁜 것은 내가 빨리 결정을 내려야 한다는 것이었고, 그렇지 않으면 오늘 밤에 맞춰 내려갈 수 있는 오후 코치를 놓치게 될 것이라는 점이었다.
응접실에 남아있는것은 젊은 녀인들과 백작부인의 장녀들이며 그들보다 나이가 많아보이는 두 자매뿐이였다. 니콜라스와 조카 쏘냐뿐이였다.	그리하여 남아 있는 유일한 젊은이는 응접실에서 젊은 여성 손님과 백작 부인의 장녀(그녀의 자매보다 네 살 더 많고 이미 어른처럼 행동하는) 외에는 니콜라스와 조카 소냐뿐이었다.
땅바닥은 깨여진 유리며 피 흘린 흔적도 없이 피흘린 흔적도 없이 피흘린 흔적도 없이 사라져버렸다.	바닥은 깨진 유리와 끔찍한 피의 엉망으로 덮여 있었고, 그것이 내 배고픔을 앗아갔다.
마들모아젤 마르트가 마틸드에게 어머니가 옷을 입고있다고 알리러 왔다.	마들모아젤 마르트가 그녀의 어머니가 옷을 입고 있다고 알리러 왔다.
그러나 나는 그것이 너무 오래 걸리지나 않을가 하여 걱정스러웠다.	하지만 나는 그것이 긴 '만약'이 될까 두렵다.
대좌의 태도가 윌로비보다 나에게는 더 매력있을뿐아니라 그 녀자에게 더 깊은 애정을 주고있다는것을 나는 잘 알고있다.	대령의 태도는 윌로비의 태도보다 나에게 더 매력적일 뿐만 아니라, 마리안에게 더 확실히 애착을 주는 종류라는 것을 나는 잘 알고 있다.
그들의 모든 행실이 다시한번 되풀이되는것만 같았다.	그들의 모든 악행이 다시 한 번 행하는 것처럼 그들 앞에 나타난다.
로버트는 혼자말로 중얼거렸다.	로버트는 혼자 생각했다.
삼촌은 손님들을 대기실로 안내하고 자그마한 자작나무책상과 안락의자가 있는 안락의자와 자그마한 안락의자, 해진 안락의자, 낡은 안락의자, 군복을 입은 아버지의 초상화며 어머니의 초상화 등을 갖춘 방으로 안내했다.	삼촌은 방문객들을 대기실에서 접이식 테이블과 빨간 의자가 있는 작은 홀로 안내한 다음, 둥근 자작나무 테이블과 소파가 있는 응접실로, 그리고 마지막으로 해진 소파와 낡은 카펫, 그리고 군복을 입은 자신의 초상화와 주인의 아버지, 어머니의 초상화가 있는 개인 방으로 안내했다.
너의 아침식사가 준비되여있어.	너의 아침 식사가 준비되어 있을 거야.
믿을수 있겠는가, 눈물까지 흘리다니!	믿을 수 있겠는가, 심지어 눈물까지도!
이때의 그의 공적은 다만 천재적인 기백에 의한것이 아니라 그가 자기 혼자서 쟁취한 사건의 성격과 성격을 리해하고있다는데 있었다.	쿠투조프의 공적은 이른바 천재적인 전략적 기동이 아니라, 그가 혼자서 일어난 사건의 의미를 이해했다는 사실에 있다.
마침내 그는 입을 열었다.	그가 마침내 말했다.
나는 이 문제를 경찰서장에게 가져가겠다.	나는 그 문제를 경찰서장에게 가져가겠다.
그다음에는 모든 사물을 보는 눈을 가지고 이렇게 말하였다. 나는 그런것을 좋아하지 않다.	그런 다음, 한 번에 모든 것을 아우르는 시선으로 둘러보며 이렇게 말했다: 게다가 이런 종류의 일은 재미있지 않다.
만일 네가 간다면 집안에 인간의 얼굴은 하나도 남지 않을것이다.	네가 간다면 집안에 인간의 얼굴은 남지 않을 것이다.
너는 어제 잘했어, 나의 사랑, 페긴.	너는 어제 잘했어, 내 사랑, 페이긴이 말했다.
당신은 우리와 함께 오래동안 행복하고 사랑받고 존경받으며 살게 될거요.	당신은 우리와 함께 오래 행복하고 사랑받으며 존경받으며 살게 될 것이고,
그의 모든 동작에는 고요한 위엄이 깃들어있었다.	그녀의 모든 움직임에는 고요한 위엄이 있었다.
당신은 내가 저속한 바보라고 생각하세요?	당신은 내가 저속한 바보라고 생각하나요?
주머니부인은 오렌지를 다 먹고나서 이 일을 서운하게 생각하며 제인에게 말하였다.	주머니 부인이 오렌지를 다 먹고 이 상황을 좋지 않게 여기며 제인에게 말했다.
아버지에 대해서 좀 이야기해주시오.	아버지에 대해 이야기해 줘.
여기 의자가 있으니 제발 길을 비켜서 들어오세요.	여기 의자가 있으니, 길을 비켜서 들어오세요!
다만 언어의 가치를 아는 사람들을 위해서 좀 더 우아하게 묘사된것뿐이예요.	단지 언어의 가치를 아는 이들을 위해 좀 더 우아하게 표현된 것일 뿐입니다.
가벼운 죄를 범한것은 당신자신이 악의에 사로잡혀있었기때문이요.	가벼운 죄이니, 당신은 악의적인 의도 없이 행동했기 때문이다.
나는 그것이 헤일 이모의 건강에 가장 좋은것이라고 확신한다.	나는 그것이 헤일 이모의 건강에 가장 좋은 일일 것이라고 확신한다.
그럼에도 불구하고 쥴리앙은 어머니를 안심시켰다. 같은 질병에 걸렸다가 완치된 같은 나이의 다른 아이들에 대한 그들의 경험담은 무시무시한 질문이예요.	"그럼에도 불구하고 그는 어머니를 안심시켰고, 비슷한 질병에 걸려 신속하게 치료된 같은 나이의 여러 아이들의 사례를 제시했다.
정말이야?
물론이죠!"
그는 죽었다. 이것이 나의 각성이였다.	그는 죽었고, 이것이 나의 각성이다.
한분이 젊은 사나이 주위에 모여들어 아라벨라양과 로모루스를 이기고 영국에서 도랑을 뛰여넘어 2천루이를 얻은 사나이였다.	한 원이 매우 젊은 남자 주위에 모였는데, 그 남자는 일주일 전 아라벨라 양과 로모루스를 이기고 영국에서 도랑을 뛰어넘어 이천 루이를 획득한 사람이었다.
그것이 너의 캠프냐?	그것이 너의 캠프니?
나의 뒤에서 동료들의 목소리가 들려왔고 발밑에 레일이 씌워있어 나는 길을 잃지 않았다.	내 뒤에서 동료들의 목소리가 들리고 발 아래에 레일이 있어 나는 길을 잃지 않았다.
그렇게 되면 귀중한 시간을 헛되이 헛되이 보내는것만 같다.	그렇게 되면 귀중한 시간이 낭비될 것이다.
그는 장갑은 장갑일뿐이라고 말하였다.	그것은 오직 장갑을 잡기 위한 것일 뿐이라고 그는 말했다.
골짜기는 산기슭에 있는 하나의 틈새에 지나지 않았으며 다른 벽은 산봉우리우에 솟아오른 단단한 바위로 되여있었다.	계곡은 산의 덩어리 속에 있는 하나의 틈에 불과했으며, 그 다른 벽은 수직으로 떨어져 있는 단단한 바위로 이루어져 있었다.
나는 디캔터가 돌아간뒤에도 그가 나를 못마땅하게 여기는것을 눈치챈것 같았다. 그것은 우리들사이에 애정이 없었기때문인것 같았다.	나는 디캔터가 돌아가는 동안 그가 나를 못마땅하게 쳐다보는 것을 본 것 같았지만, 우리 사이에 애정이 없었기 때문에 그럴 수도 있었다.
똘리버부인이 이야기하는 동안에 나는 이 사건에서 후날에 그가 세상에 나가려고 마음먹고있는 어떤 어린애에게 가장 알맞는 변호사로 되여줄수 있지 않을가 하는 생각이 들었다.	톨리버 부인이 이야기하는 동안, 빠른 사고를 가진 변호사는 사건의 여러 상황들 중에서 이 구매가 몇 년 후에 그가 세상에 나아가게 하려는 특정한 사랑받는 소년에게 매우 적합한 자리를 제공할 것이라는 생각이 떠올랐다.
그의 어머니가 자기 어머니곁으로 올라가는데 백조의 십자가에서 온 웨이터가 그에게 쪽지를 보내왔다.	그와 그의 어머니가 아파트로 올라가던 중, 백조의 십자가에서 온 웨이터가 그에게 쪽지를 가져다주었다.
펀드는 말하였다.	펀당이 말했다.
그리고 모든 사람이 말하는것이 사실이라면 그것은 증명할수 없는것은 아니다.	그리고 모든 사람이 말하는 것이 사실이라면, 증명할 수 있는 것 이상은 아니다.
헛되이 외롭게 지내는 로인은 어디 있소?	무고하게 헛되이 고통받아온 노인은 어디에 있습니까?
그 녀자는 자기가 흥미를 가지고있는 일에 자신이 있다고 생각하는것 같다. 나도 나이 들면 모든 일이 한결 더 쉬워진다고는 생각지 않는것 같다.	그녀는 스스로에게 흥미롭다고 생각하는 것 같고, 나도 나이가 들수록 모든 것이 더 쉬워진다고 확신하지는 않는다.
그것도 낯선 사람의 글이 아니였기때문일가.	그것도 비교적 낯선 사람의 글이 아니었기 때문인가?
그때 마을사람들사이에 드물게 분주하게 돌아가는 하루의 일과가 시작되였다.	그때 마을 주민들 사이에서 드물게 가벼워진 하루의 힘든 일이 시작되었다.
내가 어떻게 삼촌이 밤에 들어와서 잠자고있는가, 아침식사준비가 어떻게 되였는가를 말해준 사람.	내가 어떻게 삼촌이 밤에 들어와서 잠들었고, 아침 준비가 그에 맞게 어떻게 조정되어야 하는지를 전한 사람에게.
그들은 단호히 거절하였다.	그들은 확실히 거절했다.
이전에는 그러지 않았으나 프랑스는 이 모든 일들에서 한결 더 나빴다.	예전에는 그렇지 않았지만, 프랑스는 모든 그런 일에서 더 나빠졌다.
삐에르와 그의 안해가 나가자 쥴리앙은 마음이 푹 놓이고 우울증에 대한 불평도 사그라들었다.	피에르와 그의 아내가 떠난 후, 그는 매우 조용해졌고 우울증에 대해 불평하기 시작했다.
1833년의 결혼방식은 오늘날과 같은것이였다.	1833년의 결혼 방식은 오늘날과 같지 않았다.
그래, 다행이야. 하고 그는 성급하게 말하였다.	그래, 그것은 유용해, 스티븐이 성급하게 말했다.
죄수는 잠시 생각에 잠겼다가 붓을 들어 이렇게 썼다.	죄수는 잠시 생각에 잠겼다가 펜을 집어 들고 이렇게 썼다.
한번 더 그를 보라구.	그를 한번 봐!
마틸드는 그에게 손을 흔들며 빠리에서 당신이 한 행동에 대해서도 이야기하였다고 말하였다.	그녀는 그에게 손가락을 흔들며 파리에서의 당신의 행동에 대해서도 들었다고 말했다.
그래, 사랑하는 아이냐?	그래, 사랑하는 소년아?
번역할 문장을 내주세요.	번역할 문장을 제공해 주시면 감사하겠습니다.
그는 어떻게 감히 그 의문을 제기할수 있었을가?	그가 어떻게 감히 그 문제의 본질을 파헤치려 할 수 있을까?
성읍의 원로가 건초의 압축 가능성과 그것이 더미에 가라앉은것을 두고 모든것이 신을 두려워하는 마음에서 이루어진것이라고 맹세했건만 레빈은 건초가 하느님의 분부없이 갈라졌다는것을 인정할수 없노라고 하면서 그 건초를 더미당 50냥으로 받아들이지 않겠다고 하였다.	마을 원로가 건초의 압축 가능성과 그것이 더미에 가라앉았다는 주장, 그리고 모든 것이 신을 두려워하는 마음으로 이루어졌다고 맹세했음에도 불구하고, 레빈은 건초가 그의 명령 없이 나뉘었다는 점을 고수했으며, 따라서 그는 그 건초를 더미당 오십 짐으로 받아들이지 않겠다고 말했다.
나데즈다의 표도브나는 그 아름답고 경이로운 저녁을 어쩐지 무시무시한 눈길로 바라보며 자신에게 물었다.	나데즈다 표도로브나가 그 아름답고 경이로운 저녁에 그를 두려운 눈빛으로 바라보며 자신에게 혼란스러운 마음으로 물었다.
그래 나는 찬성하고있어, 이반은 쌀쌀하면서도 확고한 목소리로 말하였다.	그래, 나는 그것에 찬성해, 이반이 subdued하지만 확고한 목소리로 말했다.
